asset_class,2022 Inflation / Rates Sell-Off,2023 Regional Banking Stress,COVID-19 Market Crash,Global Risk-Off,Growth / Risk-On Rally,Rates Higher for Longer,Stagflation Shock
Commodity,-0.4559497991012245,0.44826157625089896,-0.18084163901457118,0.5,-0.25,-0.3,0.6
Credit,-2.906489725691932,0.3689091568290298,-2.324609451807961,-0.23124999999999998,-0.6275000000000001,-1.9880000000000002,-2.1420000000000003
Equity,-14.368040447880148,0.3789469190250877,-16.242900115826057,-11.23,8.125,-5.84,-10.274999999999999
FX,0.13058872484112205,-0.014158763684117164,-0.018192496911035305,-0.12,0.06999999999999999,-0.02,-0.06999999999999999
Rates,-5.4904813442458105,1.2694346792693654,2.379813678697772,2.5107500000000003,-2.851,-4.8025,-3.113
