scenario_id,scenario_name,scenario_type,portfolio_pnl,portfolio_pnl_pct_nav
inflation_selloff_2022,2022 Inflation / Rates Sell-Off,Historical,-23090378.419790693,-23.090378419790692
covid_crash,COVID-19 Market Crash,Historical,-16386719.146153197,-16.386719146153197
stagflation,Stagflation Shock,Hypothetical,-15000000.0,-15.0
rates_shock,Rates Higher for Longer,Hypothetical,-12950500.0,-12.950500000000002
risk_off,Global Risk-Off,Hypothetical,-8570500.0,-8.570500000000001
regional_banking_stress,2023 Regional Banking Stress,Historical,2451390.6806495283,2.4513906806495283
growth_rally,Growth / Risk-On Rally,Hypothetical,4466500.0,4.4665
